,UNDR01_2HCb,UNDR01_2MCb,UNDR03_102,UNDR03_117,UNDR03_118,UNDR03_119,UNDR03_121,UNDR03_122,UNDR03_123,UNDR03_1HAb,UNDR03_1HBb,UNDR03_1MAa,UNDR03_1MCa,UNDR03_2,UNDR03_22,UNDR03_23,UNDR03_24,UNDR03_25,UNDR03_26,UNDR03_27,UNDR03_2HBb,UNDR03_2MAa,UNDR03_2MBb,UNDR03_3,UNDR03_4,UNDR03_5,UNDR03_6,UNDR03_7,UNDR03_74,UNDR03_75,UNDR03_76,UNDR03_78,UNDR03_79,UNDR03_80,merge_NG-28520_B06,merge_NG-28520_B11,merge_NG-28520_B16,merge_NG-28520_B22,merge_NG-28520_B28,merge_NG-28520_B34,merge_NG-28520_B39,merge_NG-28520_B44,merge_NG-28520_B50,merge_NG-28520_B56,merge_NG-28520_B62,merge_NG-28520_B67,merge_NG-28520_B72,merge_NG-28520_B78,merge_NG-28520_B84,merge_NG-28520_B85,merge_NG-28520_B88,merge_NG-28520_B91,merge_NG-28520_B94,merge_NG-28520_B95,merge_NG-28520_B96
merge_NG-28520_B34-bin.20,28,22,21940,31723,62507,6763,704,1114,816,10,14,16,20,2872,2073,452,186,1226265,1183,12709,109,27,35,7717,136,1284680,6535,10462,4425,5576,4182,2099,2096,2974,10607,1316,132,553,300,214858,207173,70763,113603,1090,194956,220544,134256,117332,6595,25762,27860,572,84,14706,22224
merge_NG-28520_B34-bin.23,1931,452,6082,2426,1758,492,294,346,296,69,399,223,155,34,116,101,21,5552,12159,97,6929,526,1186,64,35,10330,2521,3277,2519,1223,6831,594,700,604,42992,15364,11350,9751,11865,35634,13182,7510,4170,15377,39602,31286,12024,6576,11226,26230,19553,157,14449,10792,2675
merge_NG-28520_B34-bin.29,197,200,83300,123295,137374,36930,42596,71637,61021,26,114,20,11,2664,2004,4999,1201,635,3160,11252,580,286,251,9180,6403,5772,9376,6473,49851,63716,41035,37033,31407,36171,32811,91788,31654,26040,19289,25078,85393,30194,14905,23468,34179,37446,23506,19031,22225,39098,32716,26541,24137,17914,19417
merge_NG-28520_B34-bin.44,35,17,1625,1126,1307,329,29213,17252,20787,5,25,11,6,459,176,586,1740,996,2788,4514,187,25,18,781,213,2854,322,736,1333,15608,2174,10371,31254,34842,2579,2596,1243,1042,1140,58487,142057,132168,34039,2734,35815,87616,82502,65336,9625,3294,2495,24443,416,4492,9275
merge_NG-28520_B34-bin.52,396,74,787,1784,2612,708,1802,2076,2128,40,180,90,76,8,16,49,27,26,84,127,1563,157,319,21,12,231,50,61,115,128,99,231,241,125,38648,21383,33553,11867,18478,34332,19563,19207,8798,20838,22863,4869,8763,8451,4946,1805,1695,8815,3163,2126,2488
merge_NG-28520_B34-bin.55,5108,3763,786,500,560,164,508,653,530,850,3932,8248,11159,433,1029,460,761,829,1190,2196,11428,4893,8299,1253,756,3911,1004,2278,721,474,775,699,513,601,151223,10815,18189,10512,4738,101095,27081,20020,4282,43167,37477,38690,17398,8359,16780,660,707,582,18278,2263963,17102
merge_NG-28520_B39-bin.23,21,26,29331,3656,2395,727,198,2529,1051,2,19,5,5,234698,227262,602,136,6446,0,16,63,43,24,6799,1544,62000,582,455,3133,5587,4175,2467,1698,3390,303,298,169,119,88,4747,14111,6999,22523,107,2061,3419,5831,10220,212,1213,1169,17,449,418,493
merge_NG-28520_B39-bin.27,280,324,243377,3319,5061,868,3832,2633,3275,11,63,10,10,5,5,4,15,23,189,150,1007,293,516,13,1,304,7902,476822,62236,6524,73116,5990,4945,4307,30,153395,241691,153927,466758,37,140934,214014,167868,783992,1210,41695,109359,183344,549196,216,206,1236,40011,54257,27422
merge_NG-28520_B39-bin.29,76,111,2863,1418,1107,424,393,827,632,5,7,5,11,59591,3318,2252,313,4429,163,1035,318,54,115,23684,2191,7458,888817,80350,1967,2175,5197,5380,3001,2858,246,127,109,752,57,444,113631,556690,54953,1534,1110,19359,303990,225455,6675,737,813,525,207,13063,6997
merge_NG-28520_B39-bin.38,636,42,1926,13079,11525,2161,16717,21112,14762,61,324,34,18,8,20,540,24,555,3874,217,2499,100,175,29,17,2618,710,613,641,3058,774,5922,3606,11712,50146,128712,151071,73105,150469,41126,108016,125458,68550,178895,39190,89924,105409,103476,120765,3831,4062,16866,7005,12657,21909
merge_NG-28520_B39-bin.49,68,88,41055,11148,19227,3291,28751,22292,28252,13,66,17,8,2416,1905,609,369,606,2360,3983,405,127,120,5750,6824,3592,4075,6163,21960,3194,11559,23983,9243,10142,317144,396023,33868,24898,152498,186731,1100338,160129,682688,250798,140362,1212751,130882,533499,190758,12548,12246,129576,28632,152155,54693
merge_NG-28520_B39-bin.55,555,187,313366,157899,171353,44852,191706,367032,286346,209,878,256,191,74,111,138,216,131,365,1061,1933,373,507,173,122,1117,194,219,110102,148783,120642,4947,40666,165542,2436,2487,1487,1863,962,1636,19701,9470,1789,1440,6485,5334,4458,4288,1831,21759,21914,13565,588,7395,2663
merge_NG-28520_B44-bin.36,208,38,4705,6007,8946,1589,2550,3027,5345,25,152,34,23,384,201,1903,1565,122,392,95,1009,65,101,3326,2122,1018,556,214,2126,643,1782,3045,4723,1398,37358,8458,3541,9259,25350,56050,49899,50889,44670,29512,44357,33760,21298,32358,9379,2959,2986,26726,1123,5201,4949
merge_NG-28520_B44-bin.48,3521,4929,14,8,4,9,16,12,11,127,335,6749,8041,21,2,1,9,1,14,16,8173,7959,9924,83,55,58,11,14,7,21,11,13,21,17,24,23,93,88,29,48,7422,150776,24353,97,57,19451,64589,49702,3745,18,35,21,20,3844,18015
merge_NG-28520_B44-bin.49,1305,258,911,542,508,158,16291,33552,23779,216,1377,293,169,121,227,215,343,183,565,1107,3616,478,611,341,162,1635,359,473,871,525,45847,24671,23405,20657,330,12958,17864,14003,16264,298,42588,31832,11411,12865,11837,22283,15082,20933,9661,421,389,2038,3411,12130,13857
merge_NG-28520_B44-bin.51,226,14,336,1328,1632,1201,161,169,164,52,231,22,18,224,276,301,518,222,731,1742,875,51,68,364,282,515,258,680,229,94,90,147,99,105,373,336,634,330,354,13822,10381,22731,4149,350,4943,2681,8306,3236,183,13878,13611,105,447,874,1235
merge_NG-28520_B44-bin.68,3309,480,95538,52022,41141,10954,68225,83170,59236,238,850,234,182,66,299,5530,50,1789,2128,1051,10041,524,1238,479,302,6806,2178,1908,6909,13123,5870,26365,32108,28202,43833,25207,131775,30411,74438,34263,22186,99535,26276,117360,94341,62963,77167,75315,92718,57100,64067,62222,5452,39612,6085
merge_NG-28520_B50-bin.21,21,3,563,24,38,14,211,257,182,2,14,23,6,95,82,94,153,75,164,245,162,12,14,296,68,581,51,271,652,73,547,140,172,185,18,107,1230,254,228,158,432,1467,34380,306,188,338,754,16858,520,13,26,132,117,201,540
merge_NG-28520_B50-bin.38,2917,3179,91,308,206,42,51,96,73,20,95,1592,1550,185,392,7,9,11,84,32,9087,3497,8897,118,585,1432,219,164,101,161,180,263,230,159,800,1818,24698,82957,108011,598,1427,14271,36559,130305,839,2862,4282,25314,64756,1800,1402,498,350302,190912,21503
merge_NG-28520_B50-bin.48,26,34,15731,67340,87640,27902,55783,38079,35178,7,23,9,2,21,20,185,604,70,887,743,143,47,24,109,59,83,160,235,46743,91889,69635,50070,26427,22496,86297,30262,47194,172634,15749,63651,34008,41201,54544,16434,26747,22913,20250,22826,12079,65302,62168,13283,33065,52127,12869
merge_NG-28520_B50-bin.62,20,11,825,320,281,88,106,179,149,1,7,6,3,2430,2135,486,29,2046,13,36,145,12,23,8460,696,2634,29381,4432,2872,8290,11349,6172,2208,4885,80,19,13,46,28,309,4194,29112,83171,1118,526,986,15932,52477,2957,285,307,112,12,10091,1788
merge_NG-28520_B50-bin.69,71,30,4647,4235,5642,1260,4313,3511,4550,9,36,3,2,293,46,0,62,27,196,867,189,47,35,99,248,343,368,441,3610,2187,4761,5303,4557,3540,3184,2192,3166,2037,1581,3793,3461,3631,8360,2152,9811,4706,3319,4934,2954,1852,1774,5297,1658,5271,1671
merge_NG-28520_B50-bin.9,0,0,365,468,525,132,334,329,306,0,1,2,1,221,3,0,3,15,5,12,13,0,0,71,0,126,4,129,1164,1164,1477,558,387,431,7262,9366,11503,11088,9086,4540,10171,9714,8438,8508,3249,3749,4762,3929,3421,15243,15488,4793,5147,3759,2088
merge_NG-28520_B56-bin.0,119,23,29595,57194,55121,16620,54215,142451,127189,11,63,1,0,0,2,140,131,0,109,1,188,54,11,343,238,20,150,6,46595,57300,89236,51832,98427,100948,2992,4574,5338,2422,4150,2284,6792,7651,2978,7391,4468,3140,4871,6796,8008,1843,1781,2035,3325,16423,6637
merge_NG-28520_B56-bin.4,193,30,1287,4758,10224,1314,4871,11285,8231,129,478,38,33,120,518,1922,733,348,8591,6360,515,78,31,422,307,1181,1947,1881,3242,4940,3676,18614,23526,10243,118187,99432,146213,88979,122334,98176,128703,140969,58150,96992,28292,101522,41044,31826,34070,110,88,3200,10476,8956,11862
merge_NG-28520_B56-bin.46,85,136,113225,3114,3569,1005,171401,465557,315566,5,18,44,76,458,229,638,244,28,450,711,382,220,160,882,886,1294,4920,28324,149273,7016,100600,17228,29852,11073,1207,1886,267929,45154,41787,719,4082,236662,38859,61852,18179,20225,121781,92285,103788,1912,1664,12016,26657,38397,12924
merge_NG-28520_B56-bin.60,617,138,977,825,4783,233,1349,910,1357,95,463,184,109,113,165,105,222,121,3523,5733,2314,296,559,217,149,479,759,1326,1360,2076,775,3403,1532,2049,35263,36183,79905,45221,69788,13244,22431,45902,31244,84947,10434,19961,14683,15062,28109,5376,5444,594,3822,9993,8464
merge_NG-28520_B56-bin.73,130,125,272875,287566,358023,76412,113130,232650,191363,8,84,8,16,126,368,220,120,764,244,1442,653,154,113,754,464,3157,244,596,54391,158083,81140,201716,183704,162996,119216,270872,120949,62454,68600,39645,136265,5648,1953,107750,70081,52385,35621,15066,68295,145240,101854,60414,23154,35001,31563
merge_NG-28520_B62-bin.19,6186,3873,131629,76703,73615,23793,38216,44988,41727,1368,6525,4906,5925,56048,21337,69221,8131,182875,11666,76801,11983,5311,5526,112065,12582,79820,40924,199415,71920,82232,116438,89551,91664,54703,8425,13800,15895,14214,19601,7415,19130,22003,14159,21460,56663,24214,28543,41305,30606,24335,21793,15841,16160,40418,23574
merge_NG-28520_B62-bin.20,30,4,16905,15521,11313,2817,4896,6854,6815,3,4,5,8,20,15,66,25,5976,21,57,178,11,11,427,11,37425,75,151,8890,20287,4321,1233,316,2263,455,489,319,96,109,4317,3746,3341,1805,123,19339,4478,1906,1960,143,11393,12388,109,446,140,380
