,UNDR01_2HCb,UNDR01_2MCb,UNDR03_102,UNDR03_117,UNDR03_118,UNDR03_119,UNDR03_121,UNDR03_122,UNDR03_123,UNDR03_1HAb,UNDR03_1HBb,UNDR03_1MAa,UNDR03_1MCa,UNDR03_2,UNDR03_22,UNDR03_23,UNDR03_24,UNDR03_25,UNDR03_26,UNDR03_27,UNDR03_2HBb,UNDR03_2MAa,UNDR03_2MBb,UNDR03_3,UNDR03_4,UNDR03_5,UNDR03_6,UNDR03_7,UNDR03_74,UNDR03_75,UNDR03_76,UNDR03_78,UNDR03_79,UNDR03_80,merge_NG-28520_B06,merge_NG-28520_B11,merge_NG-28520_B16,merge_NG-28520_B22,merge_NG-28520_B28,merge_NG-28520_B34,merge_NG-28520_B39,merge_NG-28520_B44,merge_NG-28520_B50,merge_NG-28520_B56,merge_NG-28520_B62,merge_NG-28520_B67,merge_NG-28520_B72,merge_NG-28520_B78,merge_NG-28520_B84,merge_NG-28520_B85,merge_NG-28520_B88,merge_NG-28520_B91,merge_NG-28520_B94,merge_NG-28520_B95,merge_NG-28520_B96
merge_NG-28520_B78-bin.14,64,3,6679,257,286,132,110573,197405,145774,15,48,12,4,0,8,3,0,1,3,21,405,12,35,2,3,25,17,7,501,193,545,522,1275,745,459,156,225,191,112,388,389,528,174,210,29923,5690,11312,26734,13660,467,466,73258,66,5402,6855
merge_NG-28520_B78-bin.56,6,4,2016,365,790,69,9605,11038,10946,2,9,2,2,1,1,2,3,1,2,2,42,19,12,1,2,13,1,3,3459,960,4121,12125,21624,85362,738,491,913,881,1085,395,613,9396,614,1467,7224,5283,8949,23840,3801,232,196,7511,17965,30842,16164
merge_NG-28520_B78-bin.61,190,270,2486,1520,1724,466,55780,48791,53522,6,58,247,51,274,956,418,343,1144,387,6125,677,341,295,1026,596,3971,1335,1414,1573,1688,14500,194365,41902,145365,385,49614,39004,23390,14084,224,40723,17470,6744,26430,61968,76370,44202,52894,40064,575,464,20267,44384,12659,27355
merge_NG-28520_B85-bin.3,87,71,30004,5912,4686,2348,59403,73212,53387,8,30,16,13,88206,79,83,410,809,64,249,422,74,112,13190,891,53213,2127,31661,226049,241956,315221,118885,99693,106774,4767,9130,5352,2324,1886,3647,8962,5641,1365,2730,18574,6878,7547,5193,3764,89408,80506,47381,1062,7026,2177
merge_NG-28520_B85-bin.41,379,312,56962,36362,47376,12337,37900,46926,41566,36,156,13,15,11586,34022,15683,10775,35277,7800,17524,879,358,381,34008,22367,38958,20755,38845,38234,28731,35100,37085,26581,26841,22209,25537,16283,16898,20323,13856,42877,16567,23485,26042,36914,44066,16908,26394,22051,28763,23738,38795,12809,19256,10376
merge_NG-28520_B85-bin.5,501,619,2173,1010,825,148,284,295,402,0,3,10,10,0,2,0,0,5,9,13,949,768,887,1,0,4,0,1,1799,4518,2879,1764,1109,2077,750,617,579,1875,921,432,402,325,476,1402,1981,2161,913,991,1148,35840,23162,26,14796,7535,6407
merge_NG-28520_B85-bin.52,14,32,18907,39856,31848,10130,2072,2449,2549,2,17,12,16,1,1,0,1,0,3,8,71,85,39,4,4,9,6,2,4538,1068,1762,7609,3536,13386,16020,2449,6120,6042,3804,3808,4360,2986,1334,3694,2235,823,2222,2344,7272,53667,61486,1080,2272,6132,821
merge_NG-28520_B85-bin.55,17,12,5815,27901,35336,8372,12394,16064,14661,1,14,5,1,4366,2756,1633,1532,731,889,2214,86,20,15,7742,6256,2293,6741,1992,6733,3747,7645,4716,2906,2040,1879,1470,1475,1971,2058,1153,2055,1678,834,2773,2163,1380,1753,1800,2778,39631,40685,3944,1219,2228,1176
merge_NG-28520_B85-bin.56,2415,2127,20929,13545,14775,4050,5794,11783,8264,2,10,79,56,6,21,2,0,3,8,3,5073,2619,3659,5,13,67,18,19,36544,97779,50894,51048,53164,52888,7049,5187,3951,3354,2658,4571,3586,2547,1003,3423,14510,13175,7762,11962,4866,35139,23623,9828,14245,10933,13506
merge_NG-28520_B85-bin.57,20,31,85935,50574,62496,11505,162252,157789,178209,9,23,28,23,5,2,1,2,0,4,14,134,121,17,1,3,18,2,5,140458,75067,127721,158106,99228,186372,573274,104191,723882,669116,350692,99463,198001,268848,66631,341342,48932,17119,247922,243222,636644,30708,22740,81954,80016,494623,67597
merge_NG-28520_B85-bin.7,11158,9561,31853,18593,15599,3630,3001,3615,4117,1,4,13,12,42,35,42,146,56,84,262,24206,13788,15251,174,110,413,115,123,38555,17666,88951,115916,61030,35798,5581,1096,535,506,763,6928,1354,541,387,841,4972,3579,2120,1808,1018,130319,138662,287,45722,3091,4842
merge_NG-28520_B88-bin.11,9776,4483,38481,49454,80191,34808,25573,34351,30502,29674,13530,12655,13580,12681,10455,5985,6800,78962,9407,27343,19580,9691,6792,36743,9658,104166,26358,38897,25829,30564,31582,38747,37908,45063,41290,7656,10125,10077,8273,151528,174866,70731,210692,9640,277212,144500,87876,211259,19317,224328,246617,8410,7232,21599,19085
merge_NG-28520_B88-bin.13,86,102,31529,12543,14207,3366,19484,12622,12824,3,2,0,0,0,0,0,3,1,0,22,216,55,134,2,0,5,1,1,3707,2146,7008,10426,8439,10154,566,2786,937,553,1160,237,1952,732,391,1548,9980,7916,1028,2579,5248,14917,17566,5466,5616,1786,6507
merge_NG-28520_B88-bin.19,46,50,7931,7558,7714,1704,11339,13240,10856,19,86,7,5,3899,13722,3713,1886,752,1608,11353,173,74,57,12912,6516,6416,3128,3388,7046,6034,6743,17206,8195,9801,5437,5405,2439,3146,4787,3355,9994,2798,6074,5490,3866,10287,2070,4935,3670,10854,13180,2605,1734,2269,1447
merge_NG-28520_B88-bin.27,13,25,36598,31558,30021,5179,134,214,189,0,0,0,0,458,1685,691,513,3084,345,664,59,32,40,1357,720,2771,650,3201,33571,4702,19619,694,1738,16198,2049,2214,1336,1541,1184,2648,3950,2339,2303,1151,1460,3547,2091,3253,1965,13474,18383,138,9240,5185,7413
merge_NG-28520_B88-bin.28,22,5,993,2543,5656,691,2820,2428,2129,3,20,0,1,1,10,9,14,13,145,491,177,10,15,122,90,32,37,219,451,657,558,347,176,139,2188,376,2262,671,1040,4534,3567,5420,3202,1671,3459,4527,5023,4923,1584,8329,10590,1969,949,1316,359
merge_NG-28520_B88-bin.32,54,67,4178,8547,13266,3451,2448,3097,2753,6,13,1,1,162,46,18,48,811,85,1277,141,42,72,486,349,1589,65,1428,3397,4707,5208,4627,4471,4902,2165,2435,2072,1822,1110,1592,2601,1677,913,1400,8018,2827,1530,1257,951,13135,17050,1571,3665,1275,1253
merge_NG-28520_B88-bin.35,2677,2916,10315,20701,17319,5318,4752,5729,5203,10,61,366,471,148,244,13,2,1027,2495,12,6100,3441,6619,174,404,3187,795,858,7643,11157,12378,29013,29850,52774,18518,7729,6710,6619,7039,14090,7326,5141,2644,9656,22464,21528,15389,12505,9026,36782,38037,9301,14381,9719,5935
merge_NG-28520_B88-bin.36,35,34,14028,17325,18279,5001,3828,4221,3421,4,21,3,6,2079,11559,7,19,16500,21,412,224,21,62,56,11,32518,2764,5995,2605,1795,7757,4975,1267,1552,1728,1859,1648,1364,2329,1967,1898,1446,708,2925,9306,1217,1301,1566,2401,105079,131247,40530,562,1495,750
merge_NG-28520_B88-bin.38,1770,246,15366,32390,34522,6532,4488,9071,6510,185,884,187,145,15,56,430,46,164,402,277,6312,458,773,46,16,1197,267,293,4203,154,2590,462,281,403,30230,7766,41260,15699,17346,52135,13971,68239,16911,23298,57223,25864,45208,34942,33440,68444,69785,41408,10716,25517,7941
merge_NG-28520_B88-bin.39,105,151,45975,30246,32010,8838,1397,2166,1851,1,3,4,6,21745,999,26793,64,383323,35,10899,186,79,213,38344,1265,353485,16990,47685,25023,30449,45067,30381,31456,11521,3467,1255,268,249,194,54999,55624,23748,28960,513,53399,59013,38999,33875,2833,9440,13160,970,3874,9540,8498
merge_NG-28520_B88-bin.4,748,1176,427842,26237,30430,7938,9467,43394,34125,7,48,3,8,1,0,1,4,1,7,4,1566,1307,1823,3,0,25,3243,489,268950,330340,253373,106633,97450,82555,1468,926,179,91,176,283,5110,4894,120,274,13183,6411,5054,3433,1570,34472,38191,13867,10972,9609,3469
merge_NG-28520_B88-bin.5,127,197,2191,2533,9111,3267,4527,9373,7166,9,14,9,3,52,3,27,29,25,4,36,441,211,287,159,16,403,40,187,6372,3308,7651,27033,14997,18315,2064,6063,1968,1697,2203,2195,4971,1352,1014,3148,2254,3820,1974,1790,2501,41083,45611,346,13138,6897,1415
merge_NG-28520_B88-bin.57,20523,8562,5795622,8349553,8890869,2757371,4120083,5620397,5207831,3340,15002,4340,6174,1991,1752,2042,5384,2199,5381,16712,32988,14406,12491,4525,3225,10878,3859,4476,1907092,2502298,2554125,1283340,1523192,1591641,2199253,2912194,1419409,1699231,820162,1798980,4638834,2229337,1313408,811459,1852971,3289955,1756974,1605980,800051,4121118,3745897,1025358,989824,1181086,584721
merge_NG-28520_B88-bin.59,6,1,7858,7226,5245,1335,2235,3187,3284,3,3,3,1,894,4131,1383,1262,6620,768,1484,56,3,14,3156,1860,19989,1433,1202,4009,9302,1946,624,172,1082,1753,2160,2492,2302,1886,2931,3661,3422,2342,1753,8581,2847,1777,1599,738,7955,9887,961,1320,804,566
merge_NG-28520_B88-bin.69,10,11,934,7187,15275,2198,8628,12373,10103,7,36,16,15,1275,3036,1010,1262,2636,2909,4512,164,21,16,1811,785,313,308,564,799,566,838,3440,2418,2467,209,881,1671,823,944,2439,1053,1557,664,1183,12317,673,549,399,1091,66512,69269,23727,91,782,2396
merge_NG-28520_B91-bin.25,194,253,148073,244331,183692,66217,462020,505930,394658,23,112,18,13,1259,439,720,2631,216713,1098,2257,795,315,310,1700,818,1131497,770,1520,93861,184124,125390,118866,108303,435164,36010,6185,5333,2499,4089,40088,10275,5454,1999,5957,134360,13916,3462,2139,4304,143174,127938,119428,7745,7518,4019
merge_NG-28520_B91-bin.28,95,20,67611,3003,4002,1088,8847,9523,7006,10,75,22,12,4,4,6,9,23,33,262,520,25,89,4,4,117,17,135,44128,7675,15505,21977,15554,13274,220,13921,11631,2826,4109,177,15412,15359,3306,5490,9348,6227,11201,4561,4380,86,100,36138,5210,3534,4526
merge_NG-28520_B91-bin.35,88,168,14386,56946,86379,22717,45171,22084,30861,28,107,14,16,3131,3897,1329,1052,718,3083,1738,595,238,174,3318,2131,3390,5312,4165,10956,1444,4990,40891,13130,10100,7029,16955,28813,22698,63329,6498,19954,20452,14286,67931,131704,15197,16177,13863,34313,36599,31448,329023,7771,26619,8867
merge_NG-28520_B91-bin.70,477,875,90541,21059,81785,7055,10449,6332,8652,0,3,13,13,614,2860,963,1234,2776,556,692958,1545,573,1063,2068,1315,55730,49511,26635,30134,9302,7355,5751,3842,23370,1466,757,506,427,384,871,796,388,162,282,150069,9348,1499,877,587,37198,29641,21251,3514,2450,10816
merge_NG-28520_B91-bin.72,134524,166812,120789,199153,150514,30514,61181,73491,73612,880,2502,26142,35019,4480,3421,2280,3895,2377,4646,5435,253634,162947,416886,10662,8356,35032,9228,9201,138466,82412,222258,174931,113984,131703,62172,44791,61544,66619,103107,49172,43124,40799,31301,148883,431085,479306,593479,800435,364900,489894,360901,593073,21847,127705,131686
merge_NG-28520_B91-bin.74,33,78,12970,5901,7855,1849,18178,29729,28048,0,7,1,3,2,4,0,0,0,2,14,148,117,109,0,0,76,188,276,8946,6482,10367,14078,13662,12601,10266,20889,29870,22426,16423,6113,29113,31163,14576,21286,7969,14898,18529,13245,19719,1758,1422,13604,4359,13015,7023
merge_NG-28520_B91-bin.75,1540,752,10708,225014,349594,45315,104329,100276,110595,945,4472,835,836,111,618,696,1756,402,1259,2411,4052,1271,1690,352,190,2687,674,818,8123,3338,1884,545,214,223,69880,8515,10379,22317,9350,27711,7999,8205,3920,14230,116013,24011,8634,8578,9793,367333,377040,184671,32153,1165185,54585
merge_NG-28520_B94-bin.1,59,66,94627,12917,18348,3749,9234,8071,16144,5,45,5,6,17,15,20,11,27,23,64,336,60,70,37757,24001,371,329,183,32186,8775,37751,19517,12511,15188,7917,6333,4682,6753,1594,5017,9838,7830,2513,2502,54356,28843,17867,18586,9800,11764,12187,1241,8023,10368,6699
merge_NG-28520_B94-bin.20,1697,407,17038,11712,11819,3224,8471,11128,7733,225,1558,631,376,457,736,634,1091,803,1587,3861,4420,690,873,1247,635,3444,946,1939,5837,3515,7035,4482,6995,8187,6405,8866,22772,8777,8976,5812,11630,18619,11307,10754,7243,12124,12693,17456,11219,5553,5583,804,23121,3106,3488
merge_NG-28520_B94-bin.29,1093,1646,52790,32166,40576,12667,33554,70976,51744,0,0,0,0,0,0,1,0,0,0,0,2882,3677,2073,0,0,2,0,7,39037,30807,63135,40925,34351,30354,719,97,183,144,472,131,103,53,51,402,2779,2181,1136,642,431,24202,21759,29702,28175,1801,19394
merge_NG-28520_B94-bin.34,514,699,7947,10698,6285,714,1769,1694,1824,7,24,15,9,43,4,4,13,6,29,74,1306,635,934,34,3,199,30,57,13356,14086,34994,33939,37775,41950,2742,7966,4648,4808,3179,2414,14485,10368,4357,6170,8719,12873,12287,12115,8047,11308,12176,559,34948,7845,12612
merge_NG-28520_B94-bin.41,190,48,10091,10431,10639,2226,7785,10077,7629,14,100,21,12,4,6,42,16,40,105,104,794,76,115,3,6,510,74,59,2451,2339,2690,2454,2169,2690,8292,3639,6349,6407,10427,8930,3859,8510,4013,15756,21064,11815,7823,6845,12541,15011,16009,7347,9426,15063,3454
merge_NG-28520_B94-bin.42,603,694,2064,1234,910,253,1126,2244,1452,56,239,563,551,11,34,28,79,19,42,286,1849,774,1708,45,35,170,42,35,708,1610,1173,796,377,844,958,1407,974,1562,2136,934,1307,772,913,3169,4037,10171,13263,23592,18070,7416,7415,3218,24281,8426,15377
merge_NG-28520_B94-bin.44,206,165,4,1,9,2,985,870,958,4,15,192,135,2,0,2,2,0,7,9,966,220,531,0,7,17,4,2,8,16,9,48,26,57,17,1285,8546,7296,10438,12,4780,14134,10509,21235,19442,25354,34990,47018,27406,24,48,10569,69859,103848,44955
merge_NG-28520_B94-bin.45,10177,7253,4721,41205,26253,1977,2419,2289,2432,705,3954,5285,6037,1650,2687,1680,2431,2547,3603,12724,21280,9837,14562,4549,2588,10170,3233,5235,2620,2233,2191,4016,3007,3194,1475,6863,10306,31385,26222,1004,3730,3785,5563,33705,2814,4347,4343,4776,9004,81288,67849,1205,180722,22055,13738
merge_NG-28520_B94-bin.5,2330,1466,3989,2765,2872,696,3019,3808,3233,106,413,72,124,1,3,1,1,56,120,3,4596,2366,2848,3,2,269,98,137,2433,3899,4265,4981,4258,4087,6427,3632,4520,2696,4118,4427,3219,3059,1140,6265,10403,16989,24995,41487,29765,6805,6668,2826,22470,76959,28333
merge_NG-28520_B94-bin.50,7196,3847,24815,2485,2164,418,2123,4063,2835,1,8,134,108,3,1,0,2,2,5,9,14344,9657,8511,5,2,47,5,7,13814,14683,20427,32085,29756,28080,773,763,598,968,1787,865,916,1106,362,2836,1183,2710,2410,3572,4100,10985,11669,233,27507,20137,5276
merge_NG-28520_B94-bin.67,258,132,6415,4202,3895,1013,14546,12686,9634,38,201,85,64,3824,4687,4530,3911,2456,3087,384,1261,168,277,8024,5613,12352,5900,4730,2075,1007,15348,21042,21180,42247,9048,14251,6388,7034,8742,6399,12289,4469,3390,11275,88671,39809,24955,24576,13069,10269,10077,27379,39661,13592,9113
merge_NG-28520_B94-bin.76,2767,2321,1740,1490,1705,236,133,544,389,2,4,21,5,0,1,0,0,0,2,3,5351,3811,4222,1,0,7,1,0,335,424,649,352,408,368,756,1083,555,1296,2107,741,872,307,566,2887,712,1688,664,922,1530,5438,4402,21,45042,6566,8759
merge_NG-28520_B94-bin.83,57,15,3029,711,4004,1468,352,630,571,10,52,4,0,78,29,61,142,291,128,365,213,28,17,248,20,546,158,203,2486,689,1306,14255,9925,2566,13126,14123,8091,3862,5718,9400,17276,11456,5947,4879,7036,10345,7601,7629,5086,9405,10689,164,21495,8462,1470
merge_NG-28520_B94-bin.84,76,30,2799,4645,5940,1395,2523,3026,3012,15,73,27,10,357,490,362,258,77,621,2577,483,37,55,670,377,1714,639,792,3466,1156,4866,2927,2078,1907,4001,2331,7821,3061,6172,4113,2489,5955,2593,5458,7205,5082,5109,5093,3023,13543,12749,11093,15113,5872,1438
merge_NG-28520_B95-bin.24,4004,2441,3814,2629,3465,538,1986,2058,1871,685,3795,3536,4071,2091,3423,2115,3280,3118,4714,9946,9481,3528,4653,5163,3215,9311,3368,5370,2504,2255,2227,3563,2146,2404,1093,16234,35098,25480,45828,1470,7376,10226,6029,68399,11810,6038,5446,6728,18068,11844,10781,1138,13844,96480,12117
merge_NG-28520_B95-bin.27,5761,7416,2481,72,182,19,2428,3355,2743,13,25,52,47,1,10,4,15,5,9,30,10215,11070,10297,6,3,56,12,4,169,104,261,843,762,663,2326,8401,6781,2900,5359,1385,4883,3384,1187,9373,1472,11965,7541,5321,4206,13555,16104,178,18995,196186,53541
merge_NG-28520_B95-bin.34,83,107,11232,20943,23106,4937,12542,2756,2332,4,45,3,7,214,489,671,654,554,514,1766,352,121,107,1195,852,794,1041,2029,4383,27811,5524,4360,3206,3101,45907,70371,118650,72128,83771,21375,57789,65330,30156,90820,52459,26128,7225,3398,37131,10287,7202,17890,9336,98403,4453
merge_NG-28520_B95-bin.39,4391,4636,1821,1283,1365,277,530,798,794,416,1510,8426,10308,36,7,13,10,6,15,24,9134,5613,9572,61,33,443,105,147,314,350,581,621,666,788,364,101,88,54,80,244,1263,1870,493,1646,669,3549,4348,4258,1044,792,560,624,642,80313,3786
merge_NG-28520_B95-bin.71,337,435,4448,1822,2675,460,2798,2218,2752,12,52,77,76,11,16,10,27,17,66,326,899,613,729,40,16,230,62,69,1823,13278,7972,8954,3890,5187,287,411,182,444,1131,328,5015,6189,380,994,5042,2773,2428,2202,628,12428,13321,45,83332,37105,30670
merge_NG-28520_B95-bin.72,272,60,16830,9361,8158,3789,26665,32181,47234,55,299,84,69,37,56,21,363,48,94,1273,1099,186,186,43,50,430,84,353,16088,17525,21808,60377,23316,24066,3475,1867,2695,1131,1109,562,2087,1959,1035,1824,95672,58673,25225,58409,9129,19072,14568,5774,10048,33771,5983
merge_NG-28520_B96-bin.11,9214,12966,1843258,2230731,2043698,531119,882635,1080166,1101559,4,24,17,8,2,7,4,13,4,10,8,17435,17006,22385,16,3,9,12,8,2152775,1993457,2399370,1681790,1815513,1970877,30276,12060,1958,972,2488,29076,83073,41295,14693,5530,363036,183248,143425,156034,89930,430476,475144,858864,340172,104516,852993
merge_NG-28520_B96-bin.18,6059,5265,35698,4657,2787,785,2809,5117,4605,81,478,406,301,32,158,134,272,111,323,1125,11861,6155,9055,119,81,652,167,135,43457,66575,43828,12414,21915,17922,1952,2976,3830,2433,3429,726,1341,761,300,4041,17475,25783,14490,35568,10480,28259,20899,530,11997,25461,42741
merge_NG-28520_B96-bin.21,80500,53144,8943,829,600,129,3243,7552,6053,3,8,50,41,0,2,4,1,1,6,7,141027,72115,98162,7,1,19,4,1,17919,13181,30584,15704,11518,12479,185,370,113,131,316,150,342,64,58,298,4356,5367,2942,2314,1546,4727,4477,2757,31721,1030,58991
merge_NG-28520_B96-bin.22,117,186,1051,35,44,59,569,1045,1121,2,5,2,7,0,0,0,1,20,1,3,486,43,207,1,0,143,1,0,57,29,49,62,81,42,6,6,9,6,13,6,1836,6106,917,1616,43187,10939,13063,8924,5934,5,8,11529,24,64313,24216
merge_NG-28520_B96-bin.28,20,32,2366,3011,3170,661,19559,25479,16775,0,1,2,7,176,304,42,98,193,207,426,53,64,39,486,68,226,78,310,150,173,227,2620,1764,2540,160,712,348,1253,1115,318,1110,498,621,1865,13930,9302,8053,9511,7552,5936,5490,11860,13259,8245,30955
merge_NG-28520_B96-bin.29,28,15,949,1260,1495,399,1469,2130,1808,12,44,7,8,110,219,304,210,141,3285,3478,138,33,10,443,279,231,528,1149,496,675,652,1398,1283,1111,1013,1508,1684,1794,125590,1337,2363,2693,690177,204829,1067,1628,1622,196512,107149,612,493,501,15071,26791,51736
merge_NG-28520_B96-bin.32,3577,4525,20,13,3,19,9,10,8,87,240,5481,5955,8,3,4,12,1,25,24,9161,6860,10490,50,36,76,16,18,11,10,15,20,12,19,34,29,35,22,33,1367,199,5115,561,2491,336,10148,5300,3825,1182,41,64,32,69,164333,45602
merge_NG-28520_B96-bin.47,51,60,3431,2158,2517,714,1505,2188,1712,6,11,52,32,226,364,841,1585,1026,1031,4051,296,65,130,2029,284,2530,1257,535,1872,1575,2893,2030,1743,1065,1450,1490,2179,1918,2938,1478,2880,3183,1348,3200,1380,9066,7013,6338,4631,516,549,597,676,1979,97466
merge_NG-28520_B96-bin.48,122,169,8217,1635,1976,518,4436,4814,3977,4,11,6,5,95,111,92,79,64,76,14,398,119,269,779,483,750,930,491,5554,8784,7587,2269,7179,3860,476,491,484,456,311,224,532,556,226,515,6991,1555,778,812,771,924,987,3864,1108,1424,11473
merge_NG-28520_B96-bin.49,24321,23699,521,118,168,21,279,813,734,3,19,68,44,0,0,2,0,0,4,11,42307,31891,44690,0,0,16,2,0,657,998,785,1084,828,1160,73,45,73,81,192,51,40,33,40,261,10695,12599,6987,7353,2766,396,314,12571,2241,1190,32982
merge_NG-28520_B96-bin.72,2348,2009,118,65,78,28,65,92,66,86,517,5273,7517,108,54,84,135,37,162,302,5705,2746,4638,279,158,651,122,107,103,94,119,141,123,93,6211,607,1012,2311,282,168248,194632,36793,22670,12810,71759,178558,64708,44306,6880,71,73,49,662,1667234,135025
merge_NG-28520_B96-bin.8,488,363,83,57,59,14,7686,16880,14512,3,48,325,248,2,4,2,5,3,12,12,1387,438,964,6,1,43,14,12,82,107,95,380,479,303,30,79,381,973,981,39,38,309,1163,1264,19926,23441,12110,10368,14262,223,226,9720,13296,1278,26451
merge_NG-28520_B96-bin.82,33,10,34295,3910,13824,3192,32584,3820,11961,6,20,1,0,110,140,126,118,74,9,15,133,12,8,410,266,313,19,6,51755,2443,22850,12951,1752,15425,41988,91381,67964,45605,28232,6981,39681,32733,21601,28302,72058,52357,46745,47014,43584,38438,40700,76025,5336,25003,14439
